source,title,description,details
bloomberg,A U.S. Recession Indicator Flashes Red for Leuthold's Paulsen,,US Recession Indicator Flashes Red Leutholds Paulsen None
bloomberg,The Test for Judge Kavanaugh,It is worth figuring out whether a Supreme Court nominee believes in judicial restraint.,Test Judge Kavanaugh worth figuring whether Supreme Court nominee believes judicial restraint
bloomberg,"Kavanaugh Resembles Roberts, But They’re Hardly Clones","The chief justice has encountered some buyers’ remorse, but that won’t stop the confirmation of Trump’s latest Supreme Court pick.",Kavanaugh Resembles Roberts Hardly Clones chief justice encountered buyers remorse stop confirmation Trump latest Supreme Court pick
bloomberg,"Microsoft Debuts $399 Surface Go Tablet, Taking on Cheaper iPads","Microsoft Corp. is going for the low-end of the personal computing market with a smaller, cheaper Surface Go tablet that takes on Apple Inc.’s cheapest iPads.",Microsoft Debuts 399 Surface Go Tablet Taking Cheaper iPads Microsoft Corp going low end personal computing market smaller cheaper Surface Go tablet takes Apple Inc cheapest iPads
bloomberg,Trump Loses Bid to Modify Settlement Over Child Detention,The Trump administration lost a bid to get around an agreement that prevents the U.S. from locking up underage immigrants indefinitely in Immigration and Customs Enforcement detention facilities.,Trump Loses Bid Modify Settlement Child Detention Trump administration lost bid get around agreement prevents US locking underage immigrants indefinitely Immigration Customs Enforcement detention facilities
bloomberg,Alberta Premier Says Province Likely to Buy Trans Mountain Stake,,Alberta Premier Says Province Likely Buy Trans Mountain Stake None
bloomberg,May Fights to Contain Brexit Crisis After Key Ministers Quit,Prime Minister Theresa May battled to stave off a full-blown crisis after three ministers quit within 24 hours to protest her Brexit plan.,May Fights Contain Brexit Crisis Key Ministers Quit Prime Minister Theresa May battled stave full blown crisis three ministers quit within 24 hours protest Brexit plan
bloomberg,TD Speeds Up Junior Bankers' Promotions to Attract Young Talent,Toronto-Dominion Bank is speeding up promotion opportunities for junior investment bankers to retain young talent in what it describes as “an increasingly competitive environment across North America.”,TD Speeds Junior Bankers Promotions Attract Young Talent Toronto Dominion Bank speeding promotion opportunities junior investment bankers retain young talent describes “an increasingly competitive environment across North America”
bloomberg,"Shell Ramps Up in Kitimat, Raising Canada’s $30 Billion LNG Hopes",A flurry of activity in a remote Canadian town is raising optimism that Royal Dutch Shell Plc and its partners are ready to go ahead with the nation’s largest infrastructure project: a C$40 billion ($30 billion) liquefied natural gas terminal that could at la…,Shell Ramps Kitimat Raising Canada 30 Billion LNG Hopes flurry activity remote Canadian town raising optimism Royal Dutch Shell Plc partners ready go ahead nation largest infrastructure project C40 billion 30 billion liquefied natural gas terminal could la…
bloomberg,Bank of Canada’s Expected Hike Is Six Months in Making for Poloz,Stephen Poloz can’t hold off raising interest rates any longer.,Bank Canada Expected Hike Six Months Making Poloz Stephen Poloz hold raising interest rates longer
